How long is the imaging session (answer in seconds; time from TTL HIGH to end of the aqusition)?0.00307416915894 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
6.27640604973 , array('B', [0, 0, 0, 0, 1, 0, 0, 0])
6.2923810482 , array('B', [0, 0, 0, 0, 1, 0, 0, 0])
6.30837512016 , array('B', [0, 0, 1, 0, 0, 0, 0, 0])
6.32437419891 , array('B', [0, 0, 1, 0, 0, 0, 0, 0])
6.34038615227 , array('B', [0, 0, 0, 0, 1, 0, 0, 0])
6.42039513588 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
6.4523961544 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
6.46839499474 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
6.56452703476 , array('B', [0, 0, 1, 0, 0, 0, 0, 0])
6.58043003082 , array('B', [0, 0, 0, 0, 255, 255, 0, 0])
6.59641814232 , array('B', [0, 0, 1, 0, 0, 0, 0, 0])
6.62841415405 , array('B', [0, 0, 0, 0, 255, 255, 0, 0])
6.66042399406 , array('B', [0, 0, 0, 0, 255, 255, 0, 0])
6.67642307281 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
6.69242405891 , array('B', [0, 0, 0, 0, 255, 255, 0, 0])
6.70842719078 , array('B', [0, 0, 255, 255, 255, 255, 0, 0])
6.78844714165 , array('B', [0, 0, 1, 0, 0, 0, 0, 0])
6.9004611969 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
6.91645503044 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
6.99646902084 , array('B', [0, 0, 0, 0, 1, 0, 0, 0])
7.07647609711 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
7.09247803688 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
7.14048504829 , array('B', [0, 0, 1, 0, 0, 0, 0, 0])
7.20449399948 , array('B', [0, 0, 0, 0, 255, 255, 0, 0])
7.25249910355 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
7.26850414276 , array('B', [0, 0, 0, 0, 255, 255, 0, 0])
7.28450202942 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
7.31651210785 , array('B', [0, 0, 1, 0, 0, 0, 0, 0])
